id,nom,structure_porteuse,type_lieu,nature_juridique,statut,adresse_commune,tarifs,gratuit ou pas,description,siret,adresse_brut,adresse_numero,adresse_rue,adresse_code_postal,adresse_code_insee,adresse_departement,adresse_region,adresse_complément,latitude,longitude,itinerant,en_ligne,contact_telephone,contact_telephone_complement,contact_telephone_details,contact_telephone_complement_detail,contact_email,contact_web,contact_facebook,horaires_ouverture_brut,horaires_ouverture_osm,public_cible,modalites_acces,modalites_accompagnement,accessibilite,services,niveau_service,labels,geo_point
123,Centre d'animation Bacalan,,Association,Association,Privé,Bordeaux,Gratuit,gratuit sans restrictions,"Le centre d’animation Bacalan fait partie de l’association Centres d’animation de Bordeaux, association républicaine d’animation socioculturelle, loi 1901. À ce titre, son action se fonde sur un ensemble de valeurs et de principes et est guidée par ses textes fondateurs dont ses statuts et son projet associatif. Agréée jeunesse et éducation populaire et agréé Centre Social, le centre œuvre avec toutes et tous afin de contribuer à l’émancipation des personnes qu’elle accueille en promouvant une éducation tout au long de la vie et l’égale reconnaissance des savoirs, savoir-faire et savoir-être.",78200000000000,139 rue Joseph Brunet,139,Rue Joseph Brunet,33300,33063,Gironde,Nouvelle Aquitaine,,44.8795887016774,-0.543182251350188,,Non,556508218,,Mardi et Vendredi : 14h-18h Mercredi  : 9h-13h/14h-18h30 Jeudi : 9h-13h/15h-19h30,,bacalan@cabordeaux.fr,https://centresanimationbordeaux.fr/bacalan,https://www.facebook.com/centresanimationbordeaux/,Mardi et Vendredi : 14h-18h Mercredi  : 9h-13h/14h-18h30 Jeudi : 9h-13h/15h-19h30,"Tu,Fr 14:00-18:00; We 09:00-13:00,14:00-18:30; Th 09:00-13:00,15:00-19:30",Tout public,Sur inscription ou rendez-vous,"Individuel,Collectif",,"Accès à un équipement informatique,Le public peut amener son propre matériel","TABLETTE/,ORDI/Maîtrise,INTERNET/Maîtrise,MAILS/Maîtrise,CV/Maîtrise,DIFFCV/Maîtrise,ORGRECHEMPLOI/Maîtrise,EMPLOISTORE/Basique,DECLAPE/Expert,IMPOTS/Maîtrise,DROITSSOCIAUXRSACAF/Expert,RETRAITE/Maîtrise,CPAM/Expert,FACTURES/Maîtrise,ETATCIVIL/Maîtrise,PERMIS/Maîtrise,PHOTO/Non,IMPTROISD/Non,PAO/Non,SITEWEB/Non,CODE/Non,MOOC/Non",Point relais CAF,"44.8795887017, -0.54318225135"
128,Maison des femmes de Bordeaux,,Association,Association,Privé,Bordeaux,Gratuit,gratuit sans restrictions,"Deux ordinateurs sont mis à disposition des femmes. Isabelle, chargée de l'insertion à la Maison des Femmes, vous accompagne dans vos démarches administratives.",,27 cours Alsace Lorraine,27,Cours Alsace Lorraine,33000,33063,Gironde,Nouvelle Aquitaine,,44.8379529077461,-0.569515586992977,,Non,556513095,,Lundi au Vendredi : 14h-18h.,,maison.des.femmes@wanadoo.fr,http://maisondesfemmes.net,,Lundi au Vendredi : 14h-18h.,Mo-Fr 14:00-18:00,"Allocataires,Demandeurs d'emploi,Jeunes,Personnes en situation de handicap",Sur inscription ou rendez-vous,Individuel,Handicap moteur,"Accès à un équipement informatique,Le public peut amener son propre matériel","TABLETTE/Basique,ORDI/Maîtrise,INTERNET/Expert,MAILS/Expert,CV/Maîtrise,DIFFCV/Expert,ORGRECHEMPLOI/Maîtrise,EMPLOISTORE/Basique,DECLAPE/Maîtrise,IMPOTS/Maîtrise,DROITSSOCIAUXRSACAF/Maîtrise,RETRAITE/Non,CPAM/Maîtrise,FACTURES/Maîtrise,ETATCIVIL/Maîtrise,PERMIS/Basique,PHOTO/Non,IMPTROISD/Non,PAO/Non,SITEWEB/Non,CODE/Non,MOOC/Non",,"44.8379529077, -0.569515586993"
1,Amicale Laïque de Bacalan,,Association,Association,Privé,Bordeaux,Payant,avec condition,"Association issue de l'Education Populaire, ouverte à tous pour l'épanouissement de chacune et chacun. Evénements culturels, ateliers culturels et sportifs, périscolaire, médiation, accompagnement des publics, lieu d'accueil des habitants et des associations.",78200000000000,5 rue Joseph Brunet,5,Rue Joseph Brunet,33000,33063,Gironde,Nouvelle Aquitaine,,44.8740305391211,-0.546146638400272,,Non,556508560,,"Lundi : 15h-21h, Mardi Mercredi Jeudi Vendredi : 14h-21h.",,amicalebacalan@free.fr,http://amicalebacalan.com/,,"Lundi : 15h-21h, Mardi Mercredi Jeudi Vendredi : 14h-21h.",Mo 15:00-21:00; Tu-Fr 14:00-21:00,Tout public,Sur inscription ou rendez-vous,Individuel,,"Accès à un équipement informatique,Le public peut amener son propre matériel","TABLETTE/Non,ORDI/Expert,INTERNET/Maîtrise,MAILS/Expert,CV/Maîtrise,DIFFCV/Maîtrise,ORGRECHEMPLOI/Maîtrise,EMPLOISTORE/Basique,DECLAPE/Expert,IMPOTS/Expert,DROITSSOCIAUXRSACAF/Expert,RETRAITE/Expert,CPAM/Expert,FACTURES/Expert,ETATCIVIL/Basique,PERMIS/Basique,PHOTO/Maîtrise,IMPTROISD/Non,PAO/Basique,SITEWEB/Maîtrise,CODE/Basique,MOOC/Basique",,"44.8740305391, -0.5461466384"
2,Bibliothèque Bacalan,Mairie de Bordeaux,Bibliothèque / Médiathèque,Collectivité locale ou territoriale,Public,Bordeaux,"Gratuit,Adhérent",avec condition,"Bien amarrée au territoire de Bordeaux Maritime, la bibliothèque Bacalan vous attend en famille, autour de rencontres, d'expositions ou d'ateliers... Demandez le programme ! Pour lire, travailler, vous informer ou vous détendre, la bibliothèque met à votre disposition 4 postes Internet et plus de 20 places assises.",21300000000000,196 rue Achard,196,Rue Achard,33300,33063,Gironde,Nouvelle Aquitaine,,44.873133961464,-0.546282394370516,,Non,556508702,,"Mardi : 10h-12h/14h-18h, Mercredi et Samedi : 10h-18h, Jeudi et Vendredi : 14h-18h.",,dgac.lectpub@mairie-bordeaux.fr,http://bibliotheque.bordeaux.fr,https://www.facebook.com/bibliotheques.bordeaux/,"Mardi : 10h-12h/14h-18h, Mercredi et Samedi : 10h-18h, Jeudi et Vendredi : 14h-18h.","Tu 10:00-12:00,14:00-18:00; We,Sa 10:00-18:00; Th,Fr 14:00-18:00",Tout public,Sur inscription ou rendez-vous,"Individuel,Collectif",Handicap moteur,"Accès à un équipement informatique,Le public peut amener son propre matériel","TABLETTE/Basique,ORDI/Basique,INTERNET/Basique,MAILS/Expert,CV/Basique,DIFFCV/Basique,ORGRECHEMPLOI/Non,EMPLOISTORE/Non,DECLAPE/Basique,IMPOTS/Basique,DROITSSOCIAUXRSACAF/Basique,RETRAITE/Basique,CPAM/Basique,FACTURES/Basique,ETATCIVIL/Basique,PERMIS/Basique,PHOTO/Basique,IMPTROISD/Non,PAO/Basique,SITEWEB/Non,CODE/Non,MOOC/Expert",,"44.8731339615, -0.546282394371"
5,Centre d'animation Bordeaux Lac,,Association,Association,Privé,Bordeaux,Gratuit,gratuit sans restrictions,"Animation socioculturelle en direction des enfants et Jeunes de 3 à 17 ans et de leurs familles. (activités péri et extra scolaires + Sorties, séjours période scolaire et vacances + accompagnement à la scolarité) Accueil et accompagnement des familles : Accès aux droits (permanences sociales avec partenaires), sorties, séjours. Développement social local par animations de quartier et soutien aux initiatives locales.",78200000000000,79 cours des Aubiers,79,Cours des Aubiers,33300,33063,Gironde,Nouvelle Aquitaine,,44.8725467917707,-0.572518333173997,,Non,556504773,,"Lundi, Mardi et Vendredi : 13h30-18h30, Mercredi : 9h-12h/13h30-18h30, Jeudi : 9h-12h/ 13h30-17h.",,ca.bordeauxlac@acaqb.fr,https://centresanimationbordeaux.fr/bordeaux-lac/,https://www.facebook.com/centresanimationbordeaux/,"Lundi, Mardi et Vendredi : 13h30-18h30, Mercredi : 9h-12h/13h30-18h30, Jeudi : 9h-12h/ 13h30-17h.","Mo-Fr 13:30-18:30; We 09:00-12:00,13:30-18:30; Th 09:00-12:00,13:30-17:00","Allocataires,Demandeurs d'emploi,Jeunes,Personnes en situation de handicap,Séniors",Sur inscription ou rendez-vous,Individuel,,"Accès à un équipement informatique,Le public peut amener son propre matériel","TABLETTE/Non,ORDI/Non,INTERNET/Maîtrise,MAILS/Basique,CV/Non,DIFFCV/Expert,ORGRECHEMPLOI/Expert,EMPLOISTORE/Expert,DECLAPE/Maîtrise,IMPOTS/Basique,DROITSSOCIAUXRSACAF/Basique,RETRAITE/Basique,CPAM/Basique,FACTURES/Basique,ETATCIVIL/Basique,PERMIS/Basique,PHOTO/Non,IMPTROISD/Non,PAO/Non,SITEWEB/Non,CODE/Non,MOOC/Non",Point relais CAF,"44.8725467918, -0.572518333174"
6,Centre social et familial Bordeaux Nord,,Centre social,Association,Privé,Bordeaux,"Gratuit,Adhérent",avec condition,"Accueil des habitants du quartier pour participer à des activités de loisirs et de soutien scolaire pour les enfants des activités d'insertion sociale, professionnelle et de solidarité pour les adultes.",,58 rue Joséphine,58,Rue Josephine,33300,33063,Gironde,Nouvelle Aquitaine,,44.8602284600313,-0.562106192547505,,Non,556394672,,Du Lundi au Vendredi : 9h-12h30/14h-18h30.,,contact@csbn.org,http://www.csbn.org/,,Du Lundi au Vendredi : 9h-12h30/14h-18h30.,"Mo-Fr 09:00-12:30,14:00-18:30",Tout public,Sur inscription ou rendez-vous,"Individuel,Collectif",,"Accès à un équipement informatique,Le public peut amener son propre matériel","TABLETTE/Expert,ORDI/Expert,INTERNET/Expert,MAILS/Expert,CV/Expert,DIFFCV/Expert,ORGRECHEMPLOI/Maîtrise,EMPLOISTORE/Maîtrise,DECLAPE/Expert,IMPOTS/Basique,DROITSSOCIAUXRSACAF/Expert,RETRAITE/Basique,CPAM/Expert,FACTURES/Maîtrise,ETATCIVIL/Basique,PERMIS/Basique,PHOTO/Basique,IMPTROISD/Non,PAO/Expert,SITEWEB/Non,CODE/Non,MOOC/Expert",,"44.86022846, -0.562106192548"
11,Bibliothèque Grand Parc,Mairie de Bordeaux,Bibliothèque / Médiathèque,Collectivité locale ou territoriale,Public,Bordeaux,"Gratuit,Adhérent",avec condition,"Dans sa rotonde centrale, elle accueille les œuvres de nombreux artistes peintres et sculpteurs : vous y découvrirez chaque mois des expositions d’art contemporain. Située au cœur du quartier Grand Parc, en bordure de Caudéran, du Jardin Public et des Chartrons, la bibliothèque vous offre un équipement culturel dynamique.",21300000000000,34 rue Pierre Trébod,34,Rue Pierre,33000,33063,Gironde,Nouvelle Aquitaine,,44.839435124121,-0.593256789357832,,Non,556502835,,"Mardi : 10h-12h/14h-18h, Mercredi et Samedi : 10h-18h,Jeudi et Vendredi : 14h-18h.",,dgac.lectpub@mairie-bordeaux.fr,http://bibliotheque.bordeaux.fr,https://www.facebook.com/bibliotheques.bordeaux/,"Mardi : 10h-12h/14h-18h, Mercredi et Samedi : 10h-18h,Jeudi et Vendredi : 14h-18h.","Tu 10:00-12:00,14:00-18:00; We,Sa 10:00-18:00; Th,Fr 14:00-18:00",Tout public,Sur inscription ou rendez-vous,"Individuel,Collectif",Handicap moteur,Accès à un équipement informatique,"TABLETTE/Basique,ORDI/Basique,INTERNET/Basique,MAILS/Expert,CV/Basique,DIFFCV/Basique,ORGRECHEMPLOI/Non,EMPLOISTORE/Non,DECLAPE/Basique,IMPOTS/Basique,DROITSSOCIAUXRSACAF/Basique,RETRAITE/Basique,CPAM/Basique,FACTURES/Basique,ETATCIVIL/Basique,PERMIS/Basique,PHOTO/Basique,IMPTROISD/Non,PAO/Basique,SITEWEB/Non,CODE/Non,MOOC/Basique",,"44.8394351241, -0.593256789358"
19,CCAS de Bordeaux,,"Commune (Ville, CCAS, Centre Culturel…)",Collectivité locale ou territoriale,Public,Bordeaux,Gratuit,gratuit sans restrictions,"Le CCAS de Bordeaux (Centre Communal d'Action Sociale), établissement public, met en oeuvre les solidarités et organise l'aide sociale au profit des Bordelais. A ce titre il lutte contre les exclusions en accompagnant l'attribution de l'aide sociale légale, en dispensant une aide sociale facultative selon la politique d'action sociale de la commune. Coordonnant les acteurs du territoire il porte des actions innovantes pour lutter contre les précarités. Le CCAS de Bordeaux n'assure pas un accompagnement numérique mais a un soutien numérique aux usagers dans le cadre de la dématérialisation des procédures.",,4 rue Claude Bonnier,4,Rue Claude Bonnier,33000,33063,Gironde,Nouvelle Aquitaine,,44.8382043106635,-0.582316627110537,,Non,557893939,,Lundi au Vendredi : 8h30-18h.,,p.souchon@mairie-bordeaux.fr,https://www.bordeaux.fr/p80983/le-centre-communal-d-action-sociale,,Lundi au Vendredi : 8h30-18h.,Mo-Fr 08:30-18:00,Tout public,,"Individuel,Collectif",Handicap moteur,Accès à un équipement informatique,"TABLETTE/Non,ORDI/Non,INTERNET/Non,MAILS/Basique,CV/Non,DIFFCV/Non,ORGRECHEMPLOI/Non,EMPLOISTORE/Non,DECLAPE/Basique,IMPOTS/Basique,DROITSSOCIAUXRSACAF/Basique,RETRAITE/Basique,CPAM/Non,FACTURES/Non,ETATCIVIL/Basique,PERMIS/Non,PHOTO/Non,IMPTROISD/Non,PAO/Non,SITEWEB/Non,CODE/Non,MOOC/Non",,"44.8382043107, -0.582316627111"
22,GEM Grain de Café,,Association,Association,Privé,Bordeaux,"Gratuit,Adhérent,Payant",avec condition,Association qui a pour objet de soutenir et de promouvoir la participation sociale et la citoyenneté des personnes isolées et/ou en souffrance psychique.,,6 rue Ausone,6,Rue Ausone,33000,33063,Gironde,Nouvelle Aquitaine,,44.8384732018026,-0.568542188054494,,Non,556819322,,Lundi au Vendredi : 14h-17h.,,gemgraindecafe@gmail.com,https://gem-grain-de-cafe.business.site/,,Lundi au Vendredi : 14h-17h.,Mo-Fr 14:00-17:00,Tout public,Sur inscription ou rendez-vous,Individuel,,"Accès à un équipement informatique,Le public peut amener son propre matériel","TABLETTE/Basique,ORDI/Basique,INTERNET/Basique,MAILS/Basique,CV/Basique,DIFFCV/Non,ORGRECHEMPLOI/Non,EMPLOISTORE/Non,DECLAPE/Basique,IMPOTS/Basique,DROITSSOCIAUXRSACAF/Basique,RETRAITE/Non,CPAM/Basique,FACTURES/Basique,ETATCIVIL/Basique,PERMIS/Basique,PHOTO/Non,IMPTROISD/Non,PAO/Non,SITEWEB/Non,CODE/Non,MOOC/Non",,"44.8384732018, -0.568542188054"
23,La Ressourcerie,,Autre / Inconnu,Société par Actions Simplifiée (SAS),Privé,Bordeaux,"Gratuit,Adhérent",avec condition,"Un lieu de vie au cœur de Bordeaux pour se ressourcer ensemble et prendre du temps pour soi. Conçue à l’origine pour les personnes accompagnant un proche, la Ressourcerie est ouverte à tous. Vous trouverez ici du répit, de l’entraide et de l’envie d’agir pour vous ressourcer.",,21 Cours du Chapeau Rouge,21,Cours du Chapeau Rouge,33000,33063,Gironde,Nouvelle Aquitaine,,44.8424830956179,-0.572462929593069,,Non,547743261,,"Lundi : 14h-18h30, Mardi, Mercredi, Jeudi, Vendredi : 10h-18h.",,contact@la-ressourcerie.com,https://www.la-ressourcerie.com/,https://www.facebook.com/laressourceriebordeaux/,"Lundi : 14h-18h30, Mardi, Mercredi, Jeudi, Vendredi : 10h-18h.",Mo 14:00-18:30; Tu-Fr 10:00-18:00,"Jeunes,Séniors",Sur inscription ou rendez-vous,"Individuel,Collectif",,"Accès à un équipement informatique,Le public peut amener son propre matériel","TABLETTE/Maîtrise,ORDI/Maîtrise,INTERNET/Maîtrise,MAILS/Maîtrise,CV/Basique,DIFFCV/Basique,ORGRECHEMPLOI/Non,EMPLOISTORE/Non,DECLAPE/Maîtrise,IMPOTS/Maîtrise,DROITSSOCIAUXRSACAF/Maîtrise,RETRAITE/Maîtrise,CPAM/Maîtrise,FACTURES/Maîtrise,ETATCIVIL/Maîtrise,PERMIS/Maîtrise,PHOTO/Non,IMPTROISD/Non,PAO/Non,SITEWEB/Non,CODE/Non,MOOC/Non",,"44.8424830956, -0.572462929593"
27,Pôle Emploi Gironde - Bordeaux Mériadeck,Pôle Emploi,Pôle Emploi,Autre,Public,Bordeaux,Gratuit,gratuit sans restrictions,"Accueille et accompagne toute personne à la recherche d'un emploi, d'une formation, d'un conseil professionnelle, d'une aide à la mobilité ou à l'insertion sociale et professionnelle.Indemnise les personnes relevant de l'assurance-chômage. Conseille et accompagne les entreprises dans leurs recrutements. Relaie les politiques publiques en relation avec ses missions.",,1 Terrasse du Front du Médoc,1,Terrasse Front du Médoc,33076,33063,Gironde,Nouvelle Aquitaine,,44.838066640169,-0.588190718004337,,Non,3949,,Réception sans rendez-vous les matin du Lundi au Vendredi de 8h30 à 12h30 et sur rendez-vous les après-midi sauf le Jeudi.,,Non communiqué,https://www.pole-emploi.fr,,Réception sans rendez-vous les matin du Lundi au Vendredi de 8h30 à 12h30 et sur rendez-vous les après-midi sauf le Jeudi.,Mo-Fr 08:30-12:30,Demandeurs d'emploi,Sur inscription ou rendez-vous,"Individuel,Collectif",,Accès à un équipement informatique,"TABLETTE/Non,ORDI/Non,INTERNET/Non,MAILS/Non,CV/Expert,DIFFCV/Expert,ORGRECHEMPLOI/Expert,EMPLOISTORE/Expert,DECLAPE/Expert,IMPOTS/Non,DROITSSOCIAUXRSACAF/Non,RETRAITE/Non,CPAM/Non,FACTURES/Non,ETATCIVIL/Non,PERMIS/Non,PHOTO/Non,IMPTROISD/Non,PAO/Non,SITEWEB/Non,CODE/Non,MOOC/Non",,"44.8380666402, -0.588190718004"
33,Groupement des Intellectuels Aveugles ou Amblyopes,,Association,Association,Privé,Bordeaux,Payant,avec condition,"Le G.I.A.A Aquitaine a pour vocation l’aide aux personnes déficientes visuelles. Nos activités : soutien d’étudiants déficients visuels par la fourniture à la demande de documents numérisés accessibles, gestion d’une bibliothèque sonore (plus de 12 000 ouvrages audio (au format MP3), cours d’informatique adapté, cours de braille, soutien psychologique, aide aux démarches administratives et accompagnement vers l’emploi.",,14 rue de la Réole,14,Rue de la Reole,33800,33063,Gironde,Nouvelle Aquitaine,,44.8222816066295,-0.566530287678929,,Non,556314848,,Du Lundi au Jeudi : 9h-17h30.,,contact.aquitaine@giaa.org,http://www.giaa-aquitaine.fr/,https://www.facebook.com/GIAA.apiDv.Nouvelle.aquitaine,Du Lundi au Jeudi : 9h-17h30.,Mo-Th 09:00-17:30,"Allocataires,Demandeurs d'emploi,Jeunes,Personnes en situation de handicap,Séniors",Sur inscription ou rendez-vous,"Individuel,Collectif",,"Accès à un équipement informatique,Le public peut amener son propre matériel","TABLETTE/Maîtrise,ORDI/Expert,INTERNET/Expert,MAILS/Expert,CV/Expert,DIFFCV/Expert,ORGRECHEMPLOI/Expert,EMPLOISTORE/Non,DECLAPE/Maîtrise,IMPOTS/Basique,DROITSSOCIAUXRSACAF/Basique,RETRAITE/Basique,CPAM/Basique,FACTURES/Basique,ETATCIVIL/Basique,PERMIS/Basique,PHOTO/Non,IMPTROISD/Non,PAO/Basique,SITEWEB/Expert,CODE/Non,MOOC/Basique",,"44.8222816066, -0.566530287679"
39,Pôle Emploi Gironde - Bordeaux St Jean,Pôle Emploi,Pôle Emploi,Autre,Public,Bordeaux,Gratuit,gratuit sans restrictions,"Accueille et accompagne toute personne à la recherche d'un emploi, d'une formation, d'un conseil professionnelle, d'une aide à la mobilité ou à l'insertion sociale et professionnelle.Indemnise les personnes relevant de l'assurance-chômage. Conseille et accompagne les entreprises dans leurs recrutements. Relaie les politiques publiques en relation avec ses missions.",,4 rue Bac Ninh,4,Rue de Bac Ninh,33800,33063,Gironde,Nouvelle Aquitaine,,44.8271058055701,-0.554196479441024,,Non,3949,,Réception sans rendez-vous les matin du Lundi au Vendredi de 8h30 à 12h30 et sur rendez-vous les après-midi sauf le Jeudi.,,Non communiqué,https://www.pole-emploi.fr,,Réception sans rendez-vous les matin du Lundi au Vendredi de 8h30 à 12h30 et sur rendez-vous les après-midi sauf le Jeudi.,Mo-Fr 08:30-12:30,Demandeurs d'emploi,Sur inscription ou rendez-vous,"Individuel,Collectif",,Accès à un équipement informatique,"TABLETTE/Non,ORDI/Non,INTERNET/Non,MAILS/Non,CV/Expert,DIFFCV/Expert,ORGRECHEMPLOI/Expert,EMPLOISTORE/Expert,DECLAPE/Expert,IMPOTS/Non,DROITSSOCIAUXRSACAF/Non,RETRAITE/Non,CPAM/Non,FACTURES/Non,ETATCIVIL/Non,PERMIS/Non,PHOTO/Non,IMPTROISD/Non,PAO/Non,SITEWEB/Non,CODE/Non,MOOC/Non",,"44.8271058056, -0.554196479441"
42,Pôle Emploi Gironde - Bordeaux Bastide,Pôle Emploi,Pôle Emploi,Autre,Public,Bordeaux,Gratuit,gratuit sans restrictions,"Accueille et accompagne toute personne à la recherche d'un emploi, d'une formation, d'un conseil professionnelle, d'une aide à la mobilité ou à l'insertion sociale et professionnelle.Indemnise les personnes relevant de l'assurance-chômage. Conseille et accompagne les entreprises dans leurs recrutements. Relaie les politiques publiques en relation avec ses missions.",,4 rue René Buthaut,4,Rue René Buthaut,33100,33063,Gironde,Nouvelle Aquitaine,,44.8380460348437,-0.555132098171409,,Non,3949,,Réception sans rendez-vous les matin du Lundi au Vendredi de 8h30 à 12h30 et sur rendez-vous les après-midi sauf le Jeudi.,,Non communiqué,https://www.pole-emploi.fr,,Réception sans rendez-vous les matin du Lundi au Vendredi de 8h30 à 12h30 et sur rendez-vous les après-midi sauf le Jeudi.,Mo-Fr 08:30-12:30,Demandeurs d'emploi,Sur inscription ou rendez-vous,"Individuel,Collectif",,Accès à un équipement informatique,"TABLETTE/Non,ORDI/Non,INTERNET/Non,MAILS/Non,CV/Expert,DIFFCV/Expert,ORGRECHEMPLOI/Expert,EMPLOISTORE/Expert,DECLAPE/Expert,IMPOTS/Non,DROITSSOCIAUXRSACAF/Non,RETRAITE/Non,CPAM/Non,FACTURES/Non,ETATCIVIL/Non,PERMIS/Non,PHOTO/Non,IMPTROISD/Non,PAO/Non,SITEWEB/Non,CODE/Non,MOOC/Non",,"44.8380460348, -0.555132098171"
43,APF France handicap Délégation Gironde,,Association,Association,Privé,Bordeaux,"Gratuit,Adhérent,Payant",avec condition,"Association de défense des droits des personnes en situation de handicap. Des missions associatives et militantes au sein de la délégation de Gironde. 400 adhérents, 125 bénévoles, 6 salariés, un Conseil APF de Département de 9 membres élus pour un mandat de 4 ans missionné entre autre.s, pour la mise en œuvre de notre projet associatif ""Pouvoir d'agir, pouvoir choisir"".",,30 rue Delacroix,30,Rue Delacroix,33200,33063,Gironde,Nouvelle Aquitaine,,44.855371825466,-0.632757573764835,,Non,556086730,,Du Lundi au Vendredi : 9h30-12h/14h-17h30.,,dd.33@apf.asso.fr,http://apf33.blogs.apf.asso.fr/,,Du Lundi au Vendredi : 9h30-12h/14h-17h30.,"Mo-Fr 09:30-12:00,14:00-17:30","Demandeurs d'emploi,Jeunes,Personnes en situation de handicap,Séniors",Sur inscription ou rendez-vous,Collectif,,"Accès à un équipement informatique,Le public peut amener son propre matériel","TABLETTE/Non,ORDI/Basique,INTERNET/Basique,MAILS/Basique,CV/Basique,DIFFCV/Basique,ORGRECHEMPLOI/Basique,EMPLOISTORE/Non,DECLAPE/Non,IMPOTS/Non,DROITSSOCIAUXRSACAF/Non,RETRAITE/Non,CPAM/Non,FACTURES/Non,ETATCIVIL/Non,PERMIS/Non,PHOTO/Non,IMPTROISD/Non,PAO/Non,SITEWEB/Non,CODE/Non,MOOC/Non",,"44.8553718255, -0.632757573765"
45,MJC CL2V,,Association,Association,Privé,Bordeaux,Payant,avec condition,"Association d'éducation populaire, la MJC CL2V est agréée centre social. Les valeurs de l'association sont : Respect, Solidarité, Citoyenneté. C'est un espace de loisirs, de rencontres, de partage, ouvert à tous.",,11 rue Erik Satie,11,Rue Erik Satie,33200,33281,Gironde,Nouvelle Aquitaine,,44.8454470154606,-0.630545305706131,,Non,556974000,,"Lundi : 9h-12h30/14h-19h, Mardi : 9h-12h30/13h30-18h30, Mercredi : 8h30-13h00/13h30-19h, Jeudi 8h30-12h30/14h-18h30, Vendredi : 8h30-12h/13h30-16.",,accueil@mjccl2v.fr,http://www.mjccl2v.fr/,,"Lundi : 9h-12h30/14h-19h, Mardi : 9h-12h30/13h30-18h30, Mercredi : 8h30-13h00/13h30-19h, Jeudi 8h30-12h30/14h-18h30, Vendredi : 8h30-12h/13h30-16.","Mo 09:00-12:30,14:00-19:00; Tu 09:00-12:30,13:30-18:30; We 08:30-13:00,13:15-19:00; Th 08:30-12:30,14:00-18:30; Fr 08:30-12:00,13:30-16:00",Tout public,Sur inscription ou rendez-vous,"Individuel,Collectif",,"Accès à un équipement informatique,Le public peut amener son propre matériel","TABLETTE/Maîtrise,ORDI/Maîtrise,INTERNET/Maîtrise,MAILS/Maîtrise,CV/Maîtrise,DIFFCV/Basique,ORGRECHEMPLOI/Non,EMPLOISTORE/Non,DECLAPE/Maîtrise,IMPOTS/Non,DROITSSOCIAUXRSACAF/Maîtrise,RETRAITE/Basique,CPAM/Basique,FACTURES/Basique,ETATCIVIL/Basique,PERMIS/Basique,PHOTO/Basique,IMPTROISD/Non,PAO/Non,SITEWEB/Non,CODE/Non,MOOC/Non",,"44.8454470155, -0.630545305706"
46,Bibliothèque François Mitterrand,Mairie de Bordeaux,Bibliothèque / Médiathèque,Collectivité locale ou territoriale,Public,Ambarès-et-Lagrave,Gratuit,gratuit sans restrictions,L’espace multimédia de la bibliothèque municipale d'Ambarès-et-Lagrave a pour objectif de promouvoir l’accès à l’ information et de favoriser l’ égalité d’accès aux ressources numériques. L’utilisation autonome des ordinateurs est libre et gratuite. La bibliothèque accueille de façon ponctuelle des ateliers et des animations numériques dans le cadre de sa programmation.,,9 rue Edmond Fabulation,9,rue Edmond Fabulation,33440,,Gironde,Nouvelle Aquitaine,,,,,Non,557801520,,"Mardi, Jeudi, Vendredi :16h-18h30. Mercredi : 14h-19h. Samedi : 9h30-12h30.",,bibliotheque@ville-ambaresetlagrave.fr,https://bibliotheque.ville-ambaresetlagrave.fr/,,"Mardi, Jeudi, Vendredi :16h-18h30. Mercredi : 14h-19h. Samedi : 9h30-12h30.",Tu-Fr 16:00-18:30; Th 14:00-19:00; Sa 09:30-12:30,"Jeunes,Séniors",Sur inscription ou rendez-vous,Individuel,,"Accès à un équipement informatique,Le public peut amener son propre matériel","TABLETTE/Maîtrise,ORDI/Expert,INTERNET/Expert,MAILS/Maîtrise,CV/Non,DIFFCV/Non,ORGRECHEMPLOI/Non,EMPLOISTORE/Non,DECLAPE/Non,IMPOTS/Non,DROITSSOCIAUXRSACAF/Non,RETRAITE/Non,CPAM/Non,FACTURES/Non,ETATCIVIL/Non,PERMIS/Non,PHOTO/Basique,IMPTROISD/Non,PAO/Maîtrise,SITEWEB/Basique,CODE/Non,MOOC/Basique",,
